Mg+Ca	supraBasal-Na+K	glOutlets-Na+K	streams-Na+K	lakes-Na+K	sandurPW-Na+K	morainePW-Na+K
color	LimeGreen	Orange	Gold	Blue	CornflowerBlue	Black
symbol	TriangleDown	Diamond	Star	Triangle	Circle	Square
symbol_size	9	10	6	9	9	8
1.21	1.31					
140.0	70.9					
439.15	138.5					
49.19	41.9					
67.6	45.1					
28.74	15.64					
33.54	25.9					
507.58	250.31					
38.6	22.61					
3.0	3.42					
52.26	28.7					
50.54	24.36					
370.39	263.5					
	121.9					
	190.09					
361.0	328.0					
1.8	1.77					
0.9	1.43					
1.58	3.35					
5.34	1.79					
28.39	6.0					
45.06	9.17					
	0.32					
						
						
						
						
						
						
						
						
						
						
48.2						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
51.29	4.69					
76.4	12.0					
						
266.32		83.04				
87.77		27.73				
87.27		25.43				
8.12		12.18				
8.12		8.15				
51.23		15.97				
168.99		95.0				
167.19		93.6				
166.99		93.9				
151.79		77.6				
162.59		81.8				
167.59		83.3				
148.19		74.7				
		33.8				
		60.6				
202.39		300.0				
139.01		61.3				
144.61		64.5				
136.61		63.3				
126.41		55.1				
110.41		44.2				
121.41		65.2				
123.01		48.5				
131.21		65.9				
167.81		66.8				
136.61		55.7				
73.2		25.6				
80.8		35.2				
87.0		34.6				
112.61		50.7				
115.41		51.7				
128.61		54.4				
128.21		60.2				
112.21		51.6				
123.01		59.1				
107.2		53.0				
100.6		50.0				
98.6		52.8				
126.21		53.9				
110.21		52.0				
122.01		65.5				
129.01		63.4				
113.61		54.1				
112.01		56.0				
98.6		53.5				
93.4		53.8				
141.61		113.3				
121.01		55.0				
118.41		56.0				
120.01		61.7				
113.41		56.6				
105.6		53.6				
92.4		47.2				
95.2		35.4				
107.0		66.0				
100.6		55.2				
104.2		50.6				
102.8		54.2				
104.0		52.2				
96.8		46.7				
89.8		46.1				
60.18						
66.4		18.7				
56.4		13.8				
56.4		9.4				
						
32.2						
42.2						
56.4		9.4				
131.99		27.0				
209.99		39.0				
111.99		27.0				
121.99		26.0				
56.4		9.4				
85.99		16.4				
38.2						
56.4						
50.4						
32.2						
70.4		13.8				
66.4		9.4				
169.8			81.99			
571.99			67.88			
585.21			68.99			
192.35			44.45			
65.7			22.09			
86.41			42.86			
103.79			48.62			
100.0			44.28			
111.23			53.38			
109.25			57.81			
81.62			17.76			
44.63			8.3			
57.63			10.1			
63.81			12.19			
63.46			10.53			
80.42			12.95			
57.15			8.23			
56.8			11.65			
50.56			10.73			
55.69			9.32			
107.03			17.96			
85.68			15.58			
120.32			31.39			
152.99			81.27			
124.14			59.63			
151.05			81.3			
200.16			87.99			
122.77			63.04			
124.28			48.48			
183.99			63.52			
140.81			53.11			
120.51			51.09			
115.19			48.32			
201.84			67.31			
201.67			71.63			
140.52			59.67			
149.19			66.67			
155.28			63.17			
174.22			63.86			
137.88			58.39			
176.24			60.74			
139.16			64.48			
179.7			162.89			
137.86			132.51			
124.72			112.6			
105.1			98.78			
79.88			76.81			
84.19			75.94			
66.44			57.5			
73.86			64.7			
69.47			62.29			
78.68			67.19			
71.56			63.83			
84.16			85.02			
70.91			58.37			
77.14			65.36			
65.41			51.02			
71.11			54.57			
72.78			57.13			
77.65			56.19			
78.37			56.93			
74.99			56.32			
74.57			53.53			
78.68			53.88			
74.61			50.72			
73.81			51.02			
76.95			50.84			
83.37			53.84			
88.89			54.18			
83.39			54.94			
84.85			58.32			
95.02			62.63			
72.75			52.84			
80.89			61.18			
80.89			61.18			
95.02			62.63			
72.75			52.84			
74.52			53.86			
80.83			60.51			
88.37			60.64			
80.48			55.19			
84.08			60.09			
79.15			56.45			
81.71			58.89			
75.25			52.69			
78.28			54.12			
73.92			48.86			
87.24			58.6			
87.76			58.75			
91.63			60.71			
85.52			56.86			
87.75			59.65			
83.37			56.74			
81.07			57.52			
85.59			54.54			
87.26			56.6			
88.1			56.17			
88.83			56.21			
84.4			54.63			
94.15			61.04			
96.51			63.87			
98.94			65.65			
102.25			64.91			
99.76			65.25			
95.45			60.79			
94.69			60.28			
93.66			58.41			
92.69			58.29			
97.35			58.84			
101.5			60.07			
100.7			63.37			
107.55			67.75			
96.65			73.84			
89.6			64.63			
94.24			62.9			
84.13			59.37			
86.07			59.49			
52.67			52.99			
45.06			12.48			
9.76			2.04			
185.32			84.73			
197.09			98.57			
231.0			117.53			
184.94						
103.76						
183.15						
160.75						
341.11			80.19			
346.67			108.83			
361.11			136.19			
369.04			150.7			
362.37			140.46			
300.92			123.11			
220.01			90.0			
206.01			84.0			
179.01			68.0			
183.01			73.0			
165.01			71.0			
185.01			88.0			
167.01			79.0			
167.01			79.0			
176.01			79.0			
174.01			79.0			
59.03			15.44			
76.03			31.7			
72.66			24.84			
87.8			38.82			
80.8			35.82			
72.8			17.42			
81.17			29.68			
75.41			23.56			
71.17			21.68			
67.8			17.42			
70.5			27.45			
69.34			19.07			
64.57			17.4			
66.57			21.94			
78.17			23.68			
95.17			30.68			
68.89			27.71			
70.0			47.0			
90.89			34.71			
80.66			36.83			
78.26			25.57			
86.8			30.82			
86.73			29.33			
65.57			15.4			
63.33			16.38			
74.57			17.4			
78.41			19.31			
84.8			23.82			
85.27			28.57			
80.8			22.82			
83.27			25.57			
88.27			34.57			
95.89			46.71			
93.73			41.33			
100.8			42.82			
96.2			43.08			
101.96			45.2			
94.96			39.2			
98.96			43.2			
98.0			61.0			
117.89			57.71			
92.41			31.56			
75.43			22.96			
126.13			57.59			
146.64			55.44			
162.97			70.2			
169.29			83.97			
172.66			77.83			
173.87			71.31			
179.2			83.08			
188.04			76.7			
96.0			50.0			
108.0			56.0			
105.0			55.0			
118.0			63.0			
108.0			57.0			
111.0			59.0			
117.0			64.0			
106.0			57.0			
109.0			57.0			
106.0			54.0			
113.0			60.0			
130.01			72.0			
112.0			60.0			
432.02			183.0			
244.01			93.0			
254.01			106.0			
96.0			60.0			
276.01			121.0			
236.01			97.0			
250.01			105.0			
						
216.01			88.0			
176.01			71.0			
168.01			67.0			
118.0			47.0			
124.0			46.0			
122.0			56.0			
108.0			43.0			
144.01			105.0			
96.0			72.0			
116.0			103.0			
94.0			77.0			
96.0			73.0			
106.0			79.0			
84.0			63.0			
62.0			42.0			
80.0			53.0			
50.0			34.0			
68.0			66.0			
112.0			73.0			
104.0			83.0			
188.01			113.0			
118.0			84.0			
146.0			87.0			
140.0			84.0			
26.0						
96.0			56.0			
108.0			74.0			
122.0			56.0			
108.0			43.0			
70.0			23.0			
78.0			31.0			
87.87			42.14			
92.04			43.51			
60.4			16.4			
60.4			16.4			
80.4			18.7			
76.4			18.7			
76.4			21.7			
80.4			37.0			
114.0			92.0			
108.0			85.0			
114.0			89.0			
						
						
38.2			9.4			
56.4			12.0			
56.4			12.0			
48.2			16.4			
120.41			90.0			
144.01			99.0			
126.41			90.0			
38.2						
42.2			9.4			
56.4			9.4			
48.2			12.0			
48.2			12.0			
76.4			30.0			
106.4			65.0			
110.4			69.0			
56.4			9.4			
60.4			9.4			
94.0			18.7			
76.4			16.4			
76.4			18.7			
76.4			18.7			
84.0			18.7			
70.4			23.0			
80.4			53.0			
94.0			55.0			
80.4			53.0			
38.2						
38.2						
56.4						
56.4						
114.0			18.7			
108.0			18.7			
98.0			18.7			
86.4			18.7			
124.0			62.0			
136.01			65.0			
132.0			61.0			
140.06			62.1			
41.13			6.75			
85.02			17.56			
75.92			24.42			
87.87			42.14			
92.02			43.07			
92.04			43.51			
440.68			63.47			
271.61			50.14			
159.16			62.22			
320.82			86.36			
232.57			63.37			
309.28			114.97			
258.74			89.13			
143.83			61.75			
120.42			72.15			
67.72			45.41			
105.81			89.22			
102.05			98.25			
78.41			69.83			
72.99			64.74			
90.49			67.37			
77.86			48.63			
84.52			61.29			
102.65			73.88			
120.05			83.17			
110.86			75.32			
1091.68				117.62		
1324.43				141.53		
1158.05				159.77		
1661.65				130.89		
2013.98				168.58		
308.35				47.87		
1172.72				123.75		
1131.16				126.82		
1780.02				128.95		
1315.05				197.55		
1196.28				173.69		
101.24						
803.83				162.46		
558.4				75.98		
1049.75				90.36		
97.6				17.19		
39.51				25.87		
245.49				13.48		
102.0				23.0		
96.0				18.7		
60.4				16.4		
714.86					148.94	
600.67					140.35	
765.86					148.34	
1268.36					136.79	
800.63					139.42	
874.03					135.9	
1029.93					144.67	
1394.41					124.65	
1626.61					140.73	
1342.09					131.41	
1210.18					131.66	
291.52					79.52	
736.6					128.36	
2476.61					190.35	
2634.71					202.27	
966.38					177.72	
1692.08					235.84	
2430.36					227.19	
2459.72					342.02	
1847.55					247.33	
1913.61					229.33	
2257.2						311.39
1259.15						162.92
3847.36						549.0
858.3						116.47
2601.97						271.8
1486.61						328.35
1558.91						232.73
1788.98						452.64
614.46						286.85
300.59						128.43
201.35						25.64
