Orig.Row,Sample,Water Type,PhreeqC (1= yes),pH,TDS (mg/L),Alk. (ueq/L),DICcalc (umol/L),DICexp (umol/L),Cl (umol/l),SO4 (umol/l),F (umol/l),Br (umol/l),Ca (umol/l),Mg (umol/l),Na (umol/l),K (umol/l),Si (umol/l),Al (umol/l),Ba (umol/l),Sr (umol/l),Fe (umol/l),Mn (umol/l),Calcite,± Calcite,Gypsum,± Gypsum,log PCO2,± lgPCO2,Alk* ueq/L,± Alk*,DICcalc* umol/L,± DIC*,DICexp* umol/L,SO4* (umol/l),Ca* (umol/l),Mg* (umol/l),Na* (umol/l),K* (umol/l),SO4* (ueq/l),Ca* (ueq/l),Mg* (ueq/l),Ca*+Mg* (ueq/l),(Ca+Mg-SO4)* (umol/l),(HCO3+SO4)* ueq/L,Na*+K* (umol/l),SumCat* ueq/L,Calcite*,± Calcite*,Gypsum*,± Gypsum*,log PCO2*,± lgPCO2*
179,16HE-MW24- r179,5,,6.1,17.03,,,,39.4889008,63.49933378,,100.8710453,87.08019362,46.08105328,38.27751196,44.75932273,38.09727266,5225.706026,55.5608147,128.9659895,2.327871788,236.6303833,,,,,,,,,,,,63.50,87.08,46.08,38.28,44.76,127.00,174.16,92.16,266.32,69.66,,83.04,349.36,,,,,,
180,16HE-C River-1- r180,5,,6.4,5.08,,,,10.71841593,12.69986676,,,33.18528869,10.69738737,13.91909526,13.81144816,17.09036531,3632.050997,26.50607674,89.13490071,1.969737667,251.1922531,,,,,,,,,,,,12.70,33.19,10.70,13.92,13.81,25.40,66.37,21.39,87.77,31.18,,27.73,115.50,,,,,,
181,16HE-C River-2- r181,5,,6.4,4.92,,,,11.28254309,12.07528314,,,32.93577524,10.69738737,13.91909526,11.50954013,16.73431603,3368.912608,26.50607674,85.71102488,2.148804727,231.1696822,,,,,,,,,,,,12.08,32.94,10.70,13.92,11.51,24.15,65.87,21.39,87.27,31.56,,25.43,112.69,,,,,,
182,16HE-Q River- r182,6.1,,7,10.83,,,,,31.22918055,,,67.61814462,17.28039498,54.37146585,27.62289631,39.52146977,5596.323475,25.26815557,110.1346724,2.86507297,69.35090466,,,,,,,,,,,,31.23,67.62,17.28,54.37,27.62,62.46,135.24,34.56,169.80,53.67,,81.99,251.79,,,,,,
255,14G-Surf_avg- r255,3,1,5.6,3.53,3.299833682,54.95796475,,0.999915785,0.499958563,,,0.459977232,0.259925245,1.41999866,0.769927451,1.050026596,,,,,,-8.15672845,0.113758999,-8.045123338,0.087006822,-3.132715691,0.286643356,3.30,0.46,54.95,34.41,,0.45,0.44,0.16,0.56,0.75,0.90,0.88,0.33,1.21,0.16,4.19,1.31,2.52,-8.17,0.11,-8.11,0.09,-3.13,0.29
256,14G-GL10-1C1- r256,4,,7.5,7.86,,,,,,,,42.2,27.8,32.59967244,38.30029388,54.09807377,,,,,,,,,,,,,,,,,,42.20,27.80,32.60,38.30,,84.40,55.60,140.00,,,70.90,210.90,,,,,,
257,14G-GL10-1C2- r257,4,1,7.75,52.27,374.9971373,394.8933932,,14.09941555,7.289707603,,,130.9991183,88.57831399,62.9026307,75.5961099,259.0176374,,,,,,-1.80450708,0.198502722,-4.529644718,0.086891449,-3.488420123,0.201364533,375.00,52.50,394.89,55.43,,7.29,131.00,88.58,62.90,75.60,14.58,262.00,177.16,439.15,212.29,389.58,138.50,577.65,-1.80,0.20,-4.53,0.09,-3.49,0.20
258,14G-GL10-1D1- r258,4,1,6.75,9.69,59.69739739,95.30680827,,25.39803378,2.079841776,,,17.4992529,7.098006914,24.70014477,17.19849645,12.50040168,,,,,,-4.433815475,0.199287161,-5.878157743,0.086978967,-3.274473513,0.200717784,59.70,8.36,95.31,16.63,,2.08,17.50,7.10,24.70,17.20,4.16,35.00,14.20,49.19,22.52,63.86,41.90,91.09,-4.43,0.20,-5.88,0.09,-3.27,0.20
259,14G-GL10-1D2- r259,4,,,5.23,,,,14.09880687,2.079826782,,,21.9,11.9,27.0997277,18.00013811,33.89879299,,,,,,,,,,,,,,,,,2.08,21.90,11.90,27.10,18.00,4.16,43.80,23.80,67.60,31.72,,45.10,112.70,,,,,,
260,14G-GL10-1E1- r260,4,1,6.64,5.36,34.79835497,61.83495276,,5.639542673,,,,10.09953169,4.268785648,7.710016843,7.929277643,7.580215712,,,,,,-5.007283783,0.198580553,,,-3.395685828,0.201432143,34.80,4.87,61.83,12.67,,,10.10,4.27,7.71,7.93,,20.20,8.54,28.74,,,15.64,44.38,-5.01,0.20,,,-3.40,0.20
261,14G-GL10-2D1- r261,4,1,5.8,18.96,39.69819074,259.7802463,,19.69843604,2.079837661,,,10.19954437,6.568142706,10.2000396,15.69859651,17.50052772,,,,,,-5.775065732,0.192268977,-6.105326882,0.086948615,-2.484714239,0.207812509,39.70,5.56,259.78,106.40,,2.08,10.20,6.57,10.20,15.70,4.16,20.40,13.14,33.54,14.69,43.86,25.90,59.43,-5.77,0.19,-6.10,0.09,-2.48,0.21
262,14G-GL11-1B1- r262,4,1,7.39,62.04,499.0026627,564.4001543,,19.29945032,66.09820606,,,208.0012979,45.78938369,171.0093698,79.29694799,77.40627475,,,,,,-1.852290115,0.199475899,-3.39470754,0.085154297,-3.004662183,0.200450113,499.00,69.86,564.40,79.00,,66.10,208.00,45.79,171.01,79.30,132.20,416.00,91.58,507.58,187.69,631.20,250.31,757.89,-1.85,0.20,-3.39,0.09,-3.00,0.20
